id,sid,name,lastupdate,totalshare,top10total,floatshare,top10float,list,weight,firstlevel,secondlevel,note,ext1,ext2,location,valid
7,sz000006,深振业Ａ,"2015-02-19 00:00:00",135013,55,133892,55,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,广东省,1
10,sz000009,中国宝安,"2015-02-19 00:00:00",150613,25,149002,25,"750,1500,3000",1.5,综合,综合,NULL,NULL,NULL,广东省,1
13,sz000012,"南  玻Ａ","2015-02-19 00:00:00",207629,13,206677,13,"750,1500,3000",1.5,建筑材料,建筑材料,NULL,NULL,NULL,广东省,1
15,sz000016,深康佳Ａ,"2015-02-19 00:00:00",120433,22,100566,35,"750,1500,3000",1.5,家用电器,视听器材,NULL,NULL,NULL,广东省,1
20,sz000021,深科技,"2015-02-19 00:00:00",147097,61,131788,62,"750,1500,3000",1.5,信息设备,计算机设备,NULL,NULL,NULL,广东省,1
23,sz000024,招商地产,"2015-02-19 00:00:00",257577,20,123905,59,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,广东省,1
26,sz000027,深圳能源,"2015-02-19 00:00:00",264288,30,95822,74,"750,1500,3000",1.5,公用事业,电力,NULL,NULL,NULL,广东省,1
28,sz000029,深深房Ａ,"2015-02-19 00:00:00",101153,66,101153,66,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,广东省,1
29,sz000030,富奥股份,"2015-02-19 00:00:00",129874,48,60012,74,"750,1500,3000",1.5,交运设备,汽车零部件,NULL,NULL,NULL,吉林省,1
30,sz000031,中粮地产,"2015-02-19 00:00:00",181380,53,181380,53,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,广东省,1
35,sz000036,华联控股,"2015-02-19 00:00:00",112429,34,112429,34,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,广东省,1
43,sz000046,泛海控股,"2015-02-19 00:00:00",455741,87,454480,87,"750,1500,3000",1.5,房地产,房地产开发,NULL,NULL,NULL,北京市,1
46,sz000050,深天马Ａ,"2015-02-19 00:00:00",113185,57,57436,66,"750,1500,3000",1.5,电子,光学光电子,NULL,NULL,NULL,广东省,1
50,sz000059,华锦股份,"2015-02-19 00:00:00",120086,58,120086,58,"750,1500,3000",1.5,化工,基础化学,NULL,NULL,NULL,辽宁省,1
51,sz000060,中金岭南,"2015-02-19 00:00:00",206250,46,206115,46,"750,1500,3000",1.5,有色金属,有色冶炼加工,NULL,NULL,NULL,广东省,1
52,sz000061,"农 产 品","2015-02-19 00:00:00",169680,67,160543,68,"750,1500,3000",1.5,商业贸易,零售,NULL,NULL,NULL,广东省,1
56,sz000066,长城电脑,"2015-02-19 00:00:00",132322,59,132322,59,"750,1500,3000",1.5,信息设备,计算机设备,NULL,NULL,NULL,广东省,1
61,sz000088,"盐 田 港","2015-02-19 00:00:00",194240,69,194240,69,"750,1500,3000",1.5,交通运输,港口航运,NULL,NULL,NULL,广东省,1
62,sz000089,深圳机场,"2015-02-19 00:00:00",169149,66,169149,66,"750,1500,3000",1.5,交通运输,机场航运,NULL,NULL,NULL,广东省,1
71,sz000156,华数传媒,"2015-02-19 00:00:00",114652,10,7040,90,"750,1500,3000",1.5,信息服务,通信服务,NULL,NULL,NULL,浙江省,1
76,sz000301,东方市场,"2015-02-19 00:00:00",121879,38,121879,38,"750,1500,3000",1.5,商业贸易,零售,NULL,NULL,NULL,江苏省,1
77,sz000333,美的集团,"2015-02-19 00:00:00",421551,33,223907,56,"750,1500,3000",1.5,家用电器,白色家电,NULL,NULL,NULL,,1
78,sz000338,潍柴动力,"2015-02-19 00:00:00",346788,14,495531,33,"750,1500,3000",1.5,交运设备,汽车零部件,NULL,NULL,NULL,山东省,1
